season,id,short_name,venue_name,start_date,home_team,away_team,toss_won,decision,1st_inning_score,2nd_inning_score,winner,pom,umpire1,umpire2
2023,1359544,RCB v GT,"M.Chinnaswamy Stadium, Bengaluru",2023-05-21T14:00Z,RCB,GT,GT,BOWL FIRST,197/5,198/4,GT,Shubman Gill,Nitin Menon,Virender Sharma
2023,1359543,MI v SRH,"Wankhede Stadium, Mumbai",2023-05-21T10:00Z,MI,SRH,MI,BOWL FIRST,200/5,201/2,MI,Cameron Green,KN Ananthapadmanabhan,Rod Tucker
2023,1359542,KKR v LSG,"Eden Gardens, Kolkata",2023-05-20T14:00Z,KKR,LSG,KKR,BOWL FIRST,176/8,175/7,LSG,Nicholas Pooran,Ulhas Gandhe,Jayaraman Madanagopal
2023,1359541,DC v CSK,"Arun Jaitley Stadium, Delhi",2023-05-20T10:00Z,DC,CSK,CSK,BAT FIRST,223/3,146/9,CSK,Ruturaj Gaikwad,Chris Gaffaney,Nikhil Patwardhan
2023,1359540,PBKS v RR,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2023-05-19T14:00Z,PBKS,RR,RR,BOWL FIRST,187/5,189/6,RR,Devdutt Padikkal,Nand Kishore,Rod Tucker
2023,1359539,SRH v RCB,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2023-05-18T14:00Z,SRH,RCB,RCB,BOWL FIRST,186/5,187/2,RCB,Virat Kohli,Bruce Oxenford,Virender Sharma
2023,1359538,PBKS v DC,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2023-05-17T14:00Z,PBKS,DC,PBKS,BOWL FIRST,213/2,198/8,DC,Rilee Rossouw,KN Ananthapadmanabhan,Saidharshan Kumar
2023,1359537,LSG v MI,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023-05-16T14:00Z,LSG,MI,MI,BOWL FIRST,177/3,172/5,LSG,Marcus Stoinis,Anil Chaudhary,Nand Kishore
2023,1359536,GT v SRH,"Narendra Modi Stadium, Motera, Ahmedabad",2023-05-15T14:00Z,GT,SRH,SRH,BOWL FIRST,188/9,154/9,GT,Shubman Gill,Ulhas Gandhe,Jayaraman Madanagopal
2023,1359535,CSK v KKR,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-14T14:00Z,CSK,KKR,CSK,BAT FIRST,144/6,147/4,KKR,Rinku Singh,Tapan Sharma,Vinod Seshan
